Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-01-13,34075.30859,34342.32031,33915.48828,34302.60938,34302.60938,274110000,2341
2023-01-17,34222.32031,34269.96875,33860.67188,33910.85156,33910.85156,353050000,2342
2023-01-18,33948.48828,34016.53125,33269.89844,33296.96094,33296.96094,351670000,2343
2023-01-19,33171.35156,33227.48828,32982.05078,33044.55859,33044.55859,319770000,2344
2023-01-20,33073.46094,33381.94922,32948.92969,33375.48828,33375.48828,367330000,2345
2023-01-23,33439.55859,33782.87891,33316.25,33629.55859,33629.55859,355220000,2346
2023-01-24,33444.71875,33782.92188,33310.55859,33733.96094,33733.96094,299310000,2347
2023-01-25,33538.35938,33773.08984,33273.21094,33743.83984,33743.83984,341720000,2348
2023-01-26,33771.66016,33953.78906,33635.60156,33949.41016,33949.41016,327000000,2349
2023-01-27,33952.92969,34164.32813,33830.85156,33978.07813,33978.07813,441260000,2350
2023-01-30,33909.21094,34055.28906,33695.17969,33717.08984,33717.08984,343920000,2351
2023-01-31,33803.55859,34095.23047,33664.91016,34086.03906,34086.03906,360240000,2352
2023-02-01,34039.60156,34334.69922,33581.42188,34092.96094,34092.96094,370120000,2353
2023-02-02,34129.30078,34145.14063,33814.78125,34053.94141,34053.94141,429910000,2354
2023-02-03,33926.30078,34179.57813,33813.85938,33926.01172,33926.01172,425150000,2355
2023-02-06,33874.44141,33962.83984,33683.57813,33891.01953,33891.01953,296400000,2356
2023-02-07,33769.78125,34240,33634.10156,34156.69141,34156.69141,361620000,2357
2023-02-08,34132.89844,34161.64844,33899.78906,33949.01172,33949.01172,324090000,2358
2023-02-09,34105.60938,34252.57031,33607.12891,33699.87891,33699.87891,347520000,2359
2023-02-10,33671.53906,33897.30859,33591.98828,33869.26953,33869.26953,288150000,2360
2023-02-13,33887.39063,34249.60156,33887.39063,34245.92969,34245.92969,302600000,2361
2023-02-14,34194.08984,34331.46875,33827.44922,34089.26953,34089.26953,288820000,2362
2023-02-15,34008.62891,34130.48828,33833.10156,34128.05078,34128.05078,267530000,2363
2023-02-16,33992.08984,34041.16016,33686.58984,33696.85156,33696.85156,317530000,2364
2023-02-17,33677.01172,33846.64063,33517.73047,33826.69141,33826.69141,302900000,2365
2023-02-21,33699.69141,33699.69141,33115.73828,33129.58984,33129.58984,348320000,2366
2023-02-22,33169.32813,33245.96875,32948.26953,33045.08984,33045.08984,321910000,2367
2023-02-23,33175.39063,33272.39844,32795.67188,33153.91016,33153.91016,288120000,2368
2023-02-24,32999.19141,32999.19141,32643.48047,32816.92188,32816.92188,277120000,2369
2023-02-27,32906.16016,33189.28125,32814.17969,32889.08984,32889.08984,243660000,2370
2023-02-28,32873.46875,32873.46875,32636.42969,32656.69922,32656.69922,303760000,2371
